2020.acl-main.106	2020.acl-main.649	0.800191
D18-1343	E17-1055	0.833813
D18-1363	E17-1049	0.875012
D18-1363	K17-2002	0.915766
D18-1363	P17-1182	0.853174
D18-1363	P16-2090	0.87624
D18-1363	W17-4111	0.868442
D18-1363	Q16-1019	0.873013
D19-1111	N16-1091	0.883687
D19-1111	P19-1341	0.86318
D19-1173	P16-1128	0.905262
D19-5012	N18-1098	0.894648
D19-5012	W18-5418	0.862879
D19-5012	C16-1239	0.894378
D19-5012	N16-1065	0.898228
D19-5720	N18-1003	0.893474
D19-5720	W18-5418	0.866829
D19-5720	C16-1239	0.908442
D19-5730	W18-4001	0.88788
D19-5730	W18-5418	0.874101
D19-5730	C16-1239	0.901235
E09-1033	J07-4002	0.885864
E14-4039	P13-1094	0.896144
E17-1003	K15-1021	0.917216
E17-1003	Q16-1019	0.911846
E17-1049	K15-1017	0.918613
E17-1049	N16-1080	0.875264
E17-1049	W16-2010	0.877615
E17-1049	P16-2090	0.891599
E17-1049	D15-1272	0.856915
E17-1055	D15-1083	0.643972
E17-1055	P16-1023	0.864778
E17-1066	C16-1164	0.890503
E17-1066	N15-1091	0.884921
E17-1066	P15-1007	0.841148
E17-1066	Q16-1019	0.643899
E17-1074	D15-1083	0.878364
E17-1111	N16-1097	0.0622983
E17-1111	D15-1083	0.0626889
E17-1111	P16-1023	0.893465
E17-1111	E17-1055	0.900677
E17-2119	P16-2090	0.885701
E17-2119	D13-1032	0.821344
E17-2119	E17-1055	0.812583
E95-1020	P93-1034	0.53106
I13-1023	E95-1020	0.736355
J07-4002	P06-2004	0.5
J11-4008	E95-1020	0.685032
J11-4008	D08-1096	0.899676
J13-1005	E09-1033	0.938949
J17-3004	P16-1156	0.860909
J17-3004	J98-1004	0.214639
J17-3004	D15-1083	0.907268
K15-1017	D13-1032	0.778252
K15-1021	P14-3006	0.68726
K17-2002	P17-1182	0.740658
K17-2002	W16-2010	0.383881
K17-2002	W17-4111	0.800423
N10-1113	E09-1033	0.840854
N16-1080	K15-1017	0.872874
N16-1091	W15-2915	0.881529
N16-1091	P15-1173	0.857606
N16-1097	N16-1065	0.803401
N18-1005	D16-1097	0.923198
N18-1005	P17-1182	0.891715
N18-1005	K15-1017	0.9191
N18-1005	N16-1080	0.908981
N18-1098	C16-1239	0.574659
N18-1098	N16-1065	0.703332
N19-1048	P16-1156	0.869748
N19-1048	W18-3013	0.85209
N19-1048	N16-1091	0.837186
P06-2004	W06-2913	0.872526
P11-1152	E95-1020	0.568109
P14-1131	C10-2070	0.918405
P14-1131	C10-2127	0.894816
P14-1131	D08-1096	0.885494
P14-2008	C12-1082	0.846082
P15-1173	J98-1004	0.286068
P16-1023	P16-2083	0.891482
P16-1023	N16-1091	0.885471
P16-1023	D15-1083	0.809884
P16-1128	Q14-1002	0.417449
P16-1128	K15-1021	0.774588
P16-1128	D15-1155	0.891534
P16-1156	N15-1140	0.856025
P16-1156	K15-1017	0.876559
P16-2083	D14-1151	0.86371
P16-2083	D15-1155	0.895539
P16-2083	N15-1140	0.77822
P16-2083	N16-1091	0.138983
P16-2083	Q14-1002	0.3719
P16-2090	D15-1272	0.873371
P17-1182	P16-1156	0.900318
P17-1182	D16-1097	0.909381
P17-1182	P16-2090	0.823613
P17-1182	D15-1083	0.848421
P18-1075	N16-1091	0.92208
P18-1141	D17-1011	0.856467
P18-1141	2009.mtsummit-posters.11	0.830059
P18-2086	E17-1066	0.895944
P18-2086	Q16-1019	0.882957
P19-1034	N16-1091	0.899966
P19-1341	P18-1141	0.762653
P19-1341	N16-1091	0.911682
P19-1341	E17-1074	0.890174
P19-1574	J17-3004	0.894956
P19-1574	J98-1004	0.561454
P19-1574	D15-1083	0.89959
P19-1574	P16-1023	0.930111
Q14-1002	I13-1023	0.815222
Q14-1002	P93-1034	0.397436
Q14-1002	E95-1020	0.369462
Q16-1019	N15-1091	0.587059
Q16-1019	P15-1007	0.520976
Q18-1003	K15-1017	0.927378
Q18-1003	D16-1256	0.883949
Q18-1003	N16-1080	0.916571
Q18-1003	D16-1097	0.868472
Q18-1003	D15-1083	0.784005
Q18-1003	N15-1091	0.843313
Q18-1047	E17-1003	0.928732
Q18-1047	Q16-1019	0.927953
scheible-schutze-2012-bootstrapping	C10-2127	0.5
W16-2010	P16-2090	0.36865
W16-2010	D15-1272	0.451281
W17-4111	P17-1182	0.822714
W18-3013	E17-1055	0.887038
W18-3013	D15-1083	0.891522
W18-3013	P16-1023	0.878829
W18-4001	C16-1239	0.900482
W18-4001	N18-1098	0.876457
W18-4001	N16-1065	0.886461
W18-4001	Q16-1019	0.803172
W18-5418	N16-1097	0.904683
W18-5418	N18-1098	0.871043
W18-5418	N18-1003	0.635502
W18-5418	C16-1239	0.855302
W18-5418	N16-1065	0.90239
W19-8666	W18-6538	0.848865
