2012.amta-papers.13	pighin-etal-2012-faust	0.833398
W06-3126	W05-0826	0.5
W07-0719	gimenez-marquez-2004-svmtool	0.741691
W07-0719	W05-0826	0.885054
W07-0738	P06-2003	0.894349
W07-0738	gimenez-marquez-2004-svmtool	0.183461
W07-0738	H05-1081	0.853513
W08-0332	W07-0738	0.49558
W08-0332	I08-1042	0.844564
W08-2121	W05-0620	0.81831
W08-2121	gimenez-marquez-2004-svmtool	0.278194
W08-2121	W08-2124	0.554724
W08-2121	W04-2412	0.5
W08-2124	W06-2925	0.909248
W08-2124	W08-2121	0.799924
W09-0440	P06-2003	0.919826
W09-0440	W07-0738	0.887344
W09-1201	W09-1212	0.83271
W09-1201	S07-1008	0.697359
W09-1201	W08-2121	0.597132
W09-1212	W06-2925	0.898848
W09-1212	W08-2124	0.743443
W09-1212	W08-2121	0.913236
W10-1750	W07-0738	0.893535
W10-1750	W08-0332	0.880192
W10-1750	W09-0440	0.81187
W11-1001	W05-0620	0.854319
W12-3115	gimenez-marquez-2004-svmtool	0.710027
W13-2215	2013.mtsummit-papers.9	0.774503
W13-2244	2012.amta-papers.13	0.318131
W13-2244	2013.mtsummit-papers.9	0.683064
W13-2244	P12-3024	0.541573
W14-3351	W07-0738	0.886748
W14-3351	P12-3024	0.897396
W14-3351	P13-4031	0.877708
W14-3351	W09-0440	0.5
W14-3352	P14-1065	0.494914
W15-4908	P12-3024	0.877684
W15-4908	W14-4015	0.864402
